Source,Target,Type
Farhan Akhtar,Sonam Kapoor,Undirected
Manoj Bajpayee,Richa Chadha,Undirected
Rajat Barmecha,Ronit Roy,Undirected
Irrfan Khan,Mahie Gill,Undirected
Ricardo Darín,Soledad Villamil,Undirected
Tom Hardy,Nick Nolte,Undirected
Leonardo DiCaprio,Emily Mortimer,Undirected
Bob Peterson,Edward Asner,Undirected
Leonardo DiCaprio,Jonah Hill,Undirected
Shah Rukh Khan,Vidya Malvade,Undirected
Daniel Day-Lewis,Paul Dano,Undirected
Ivana Baquero,Ariadna Gil,Undirected
Tom Hanks,Tim Allen,Undirected
Hugo Weaving,Natalie Portman,Undirected
Aamir Khan,Soha Ali Khan,Undirected
Amitabh Bachchan,Rani Mukerji,Undirected
Christian Bale,Michael Caine,Undirected
Shah Rukh Khan,Gayatri Joshi,Undirected
Bruno Ganz,Alexandra Maria Lara,Undirected
Chieko Baishô,Takuya Kimura,Undirected
Russell Crowe,Ed Harris,Undirected
Akshay Kumar,Sunil Shetty,Undirected
Jason Flemyng,Dexter Fletcher,Undirected
Kevin Spacey,Russell Crowe,Undirected
Sener Sen,Ugur Yücel,Undirected
Al Pacino,Robert De Niro,Undirected
Robert De Niro,Sharon Stone,Undirected
Aamir Khan,Salman Khan,Undirected
Clint Eastwood,Gene Hackman,Undirected
Harrison Ford,Sean Connery,Undirected
Davor Dujmovic,Bora Todorovic,Undirected
Hitoshi Takagi,Noriko Hidaka,Undirected
Bruce Willis,Alan Rickman,Undirected
Tatsuya Nakadai,Akira Terao,Undirected
Robert De Niro,Cathy Moriarty,Undirected
Alisa Freyndlikh,Aleksandr Kaydanovskiy,Undirected
Ingrid Bergman,Liv Ullmann,Undirected
Anthony Quinn,Irene Papas,Undirected
Sanjeev Kumar,Dharmendra,Undirected
Terry Jones,Graham Chapman,Undirected
Steve McQueen,James Garner,Undirected
Gregory Peck,John Megna,Undirected
Toshirô Mifune,Eijirô Tôno,Undirected
Spencer Tracy,Burt Lancaster,Undirected
Marilyn Monroe,Tony Curtis,Undirected
Victor Sjöström,Bibi Andersson,Undirected
Max von Sydow,Gunnar Björnstrand,Undirected
Jean Servais,Carl Möhner,Undirected
Ray Milland,Grace Kelly,Undirected
Chishû Ryû,Chieko Higashiyama,Undirected
Toshirô Mifune,Machiko Kyô,Undirected
Bette Davis,Anne Baxter,Undirected
Humphrey Bogart,Walter Huston,Undirected
Carole Lombard,Jack Benny,Undirected
Charles Chaplin,Mack Swain,Undirected
Buster Keaton,Kathryn McGuire,Undirected
Noémie Merlant,Adèle Haenel,Undirected
Taapsee Pannu,Amitabh Bachchan,Undirected
Miyu Irino,Saori Hayami,Undirected
Mario Casas,Ana Wagener,Undirected
Kim Min-hee,Jung-woo Ha,Undirected
Anne Dorval,Antoine Olivier Pilon,Undirected
Shahid Kapoor,Tabu,Undirected
Hugh Jackman,Patrick Stewart,Undirected
Brie Larson,Jacob Tremblay,Undirected
Darío Grandinetti,María Marull,Undirected
Kemp Powers,Jamie Foxx,Undirected
Haluk Bilginer,Melisa Sözen,Undirected
Aamir Khan,Anushka Sharma,Undirected
Paresh Rawal,Akshay Kumar,Undirected
