Source,Target,Type
Roy Scheider,Richard Dreyfuss,Undirected
Al Pacino,Penelope Allen,Undirected
Gene Wilder,Marty Feldman,Undirected
Steve McQueen,Victor Jory,Undirected
Ellen Burstyn,Linda Blair,Undirected
Laurence Olivier,Alec Cawthorne,Undirected
Timothy Bottoms,Cybill Shepherd,Undirected
Topol,Leonard Frey,Undirected
Jean-Louis Trintignant,Gastone Moschin,Undirected
Paul Newman,Katharine Ross,Undirected
Mia Farrow,Ruth Gordon,Undirected
Charlton Heston,Kim Hunter,Undirected
Dustin Hoffman,Katharine Ross,Undirected
Elizabeth Taylor,George Segal,Undirected
Julie Andrews,Eleanor Parker,Undirected
Omar Sharif,Geraldine Chaplin,Undirected
Clint Eastwood,Marianne Koch,Undirected
Marcello Mastroianni,Claudia Cardinale,Undirected
Anna Karina,André S. Labarthe,Undirected
Paul Newman,Piper Laurie,Undirected
Marcello Mastroianni,Anouk Aimée,Undirected
John Wayne,Ricky Nelson,Undirected
James Stewart,Ben Gazzara,Undirected
Charlton Heston,Janet Leigh,Undirected
Elizabeth Taylor,Burl Ives,Undirected
Burt Lancaster,Susan Harrison,Undirected
Sterling Hayden,Vince Edwards,Undirected
Robert Mitchum,Lillian Gish,Undirected
Anthony Quinn,Richard Basehart,Undirected
Simone Signoret,Paul Meurisse,Undirected
William Holden,Otto Preminger,Undirected
Gregory Peck,Eddie Albert,Undirected
Vivien Leigh,Kim Hunter,Undirected
Humphrey Bogart,Frank Lovejoy,Undirected
Dennis Price,Valerie Hobson,Undirected
James Stewart,Farley Granger,Undirected
Robert Mitchum,Kirk Douglas,Undirected
Celia Johnson,Stanley Holloway,Undirected
Gene Tierney,Clifton Webb,Undirected
Myrna Loy,Fredric March,Undirected
Cary Grant,Raymond Massey,Undirected
Humphrey Bogart,Gladys George,Undirected
Henry Fonda,John Carradine,Undirected
George Cukor,Norman Taurog,Undirected
Marcel Dalio,Paulette Dubost,Undirected
William Powell,Maureen O'Sullivan,Undirected
Lew Ayres,John Wray,Undirected
Aleksandr Antonov,Grigoriy Aleksandrov,Undirected
Daniel Craig,Ana de Armas,Undirected
Sushant Singh Rajput,Sahil Vaid,Undirected
Lily Franky,Kirin Kiki,Undirected
Adam Driver,Julia Greer,Undirected
Armie Hammer,Michael Stuhlbarg,Undirected
Laura Obiols,Hayley Squires,Undirected
Bryan Cranston,Edward Norton,Undirected
Sam Neill,Rima Te Wiata,Undirected
Viggo Mortensen,Samantha Isler,Undirected
Ferdia Walsh-Peelo,Maria Doyle Kennedy,Undirected
Chris Hemsworth,Cate Blanchett,Undirected
Jake Gyllenhaal,Bill Paxton,Undirected
Roman Griffin Davis,Scarlett Johansson,Undirected
Amy Adams,Forest Whitaker,Undirected
Daisy Ridley,Oscar Isaac,Undirected
Ethan Hawke,Seamus Davey-Fitzpatrick,Undirected
Patrick Stewart,Hugh Jackman,Undirected
Muhammet Uzuner,Taner Birsel,Undirected
Jean Dujardin,John Goodman,Undirected
Tom Cruise,Bill Paxton,Undirected
Jean-Louis Trintignant,Isabelle Huppert,Undirected
Robert De Niro,Joe Pesci,Undirected
Tahar Rahim,Adel Bencherif,Undirected
Sam Rockwell,Dominique McElligott,Undirected
Kåre Hedebrant,Per Ragnar,Undirected
Sharlto Copley,Jason Cope,Undirected
Mickey Rourke,Evan Rachel Wood,Undirected
Shahid Kapoor,Tarun Arora,Undirected
Ellar Coltrane,Ethan Hawke,Undirected
Anamaria Marinca,Vlad Ivanov,Undirected
Chris Pine,Simon Pegg,Undirected
Colin Farrell,Ciarán Hinds,Undirected
David Lee Smith,John Billingsley,Undirected
Ken Watanabe,Tsuyoshi Ihara,Undirected
Lee Pace,Justine Waddell,Undirected
Suraj Sharma,Adil Hussain,Undirected
George Clooney,Bill Murray,Undirected
Michel Côté,Danielle Proulx,Undirected
Gérard Jugnot,Jean-Baptiste Maunier,Undirected
Robert Downey Jr.,Terrence Howard,Undirected
Simon Pegg,Kate Ashfield,Undirected
Birol Ünel,Güven Kiraç,Undirected
Sean Penn,Kevin Bacon,Undirected
Daniel Radcliffe,Rupert Grint,Undirected
Jet Li,Maggie Cheung,Undirected
Rosario Flores,Darío Grandinetti,Undirected
Branko Djuric,Filip Sovagovic,Undirected
Tensai Okamura,Yoshiyuki Takei,Undirected
Franka Potente,Chris Cooper,Undirected
Ricardo Darín,Graciela Tenenbaum,Undirected
Julianne Moore,Chiwetel Ejiofor,Undirected
Billy Crudup,Kate Hudson,Undirected
Naomi Watts,Justin Theroux,Undirected
Ash Brannon,Tom Hanks,Undirected
Mark Wahlberg,Burt Reynolds,Undirected
Yoko Honna,Takashi Tachibana,Undirected
Rena Owen,Mamaengaroa Kerr-Bell,Undirected
Christian Slater,Dennis Hopper,Undirected
Juliette Binoche,Julie Delpy,Undirected
Kôichi Yamadera,Takeshi Aono,Undirected
Al Pacino,Penelope Ann Miller,Undirected
Johnny Depp,Dianne Wiest,Undirected
Daniel Day-Lewis,Alison Whelan,Undirected
Martin Landau,Bill Bernstein,Undirected
Kevin Costner,Robert De Niro,Undirected
Mia Farrow,Michael Caine,Undirected
Jonathan Pryce,Robert De Niro,Undirected
Rob Reiner,Christopher Guest,Undirected
Peter Billingsley,Darren McGavin,Undirected
John Belushi,Cab Calloway,Undirected
Woody Allen,Mariel Hemingway,Undirected
Roy Scheider,Ann Reinking,Undirected
David Emge,Scott H. Reiniger,Undirected
Dustin Hoffman,Jack Warden,Undirected
Alejandro Jodorowsky,Zamira Saunders,Undirected
Magali Noël,Pupella Maggio,Undirected
Fernando Rey,Paul Frankeur,Undirected
Klaus Kinski,Helena Rojo,Undirected
Ruth Gordon,Vivian Pickles,Undirected
George C. Scott,Stephen Young,Undirected
William Holden,Robert Ryan,Undirected
Duane Jones,Karl Hardman,Undirected
Peter O'Toole,Anthony Hopkins,Undirected
Sidney Poitier,Warren Oates,Undirected
Cary Grant,Walter Matthau,Undirected
Frank Sinatra,Janet Leigh,Undirected
Kirk Douglas,Jean Simmons,Undirected
Gabriele Ferzetti,Lea Massari,Undirected
Emmanuelle Riva,Stella Dassas,Undirected
Charlton Heston,Anne Baxter,Undirected
John Wayne,Vera Miles,Undirected
James Dean,Julie Harris,Undirected
Gary Cooper,Thomas Mitchell,Undirected
Farley Granger,Ruth Roman,Undirected
James Stewart,William H. Lynn,Undirected
Edmund Gwenn,John Payne,Undirected
Cary Grant,Claude Rains,Undirected
Humphrey Bogart,John Ridgely,Undirected
Ray Milland,Phillip Terry,Undirected
Cary Grant,James Stewart,Undirected
Cary Grant,Ralph Bellamy,Undirected
William Keighley,Olivia de Havilland,Undirected
Edmund Goulding,Chico Marx,Undirected
Ernest B. Schoedsack,Robert Armstrong,Undirected
Wallace Ford,Olga Baclanova,Undirected
Max Schreck,Gustav von Wangenheim,Undirected
Matthew McConaughey,Michelle Dockery,Undirected
Alia Bhatt,Rajit Kapoor,Undirected
Riz Ahmed,Paul Raci,Undirected
Shahab Hosseini,Babak Karimi,Undirected
Fionn Whitehead,Mark Rylance,Undirected
Giuseppe Battiston,Marco Giallini,Undirected
Taraji P. Henson,Janelle Monáe,Undirected
Ben Whishaw,Hugh Bonneville,Undirected
Shahid Kapoor,Kareena Kapoor,Undirected
Charlize Theron,Matthew McConaughey,Undirected
Sushant Singh Rajput,Anupam Kher,Undirected
Casey Affleck,Kyle Chandler,Undirected
Roland Møller,Joel Basman,Undirected
Felicity Jones,Alan Tudyk,Undirected
Joe Russo,Robert Downey Jr.,Undirected
Samuel L. Jackson,Jennifer Jason Leigh,Undirected
Saoirse Ronan,Florence Pugh,Undirected
Hugh Welchman,Jerome Flynn,Undirected
Bill Nighy,Dominic West,Undirected
Bérénice Bejo,Ali Mosaffa,Undirected
Toni Servillo,Sabrina Ferilli,Undirected
Irrfan Khan,Nawazuddin Siddiqui,Undirected
Ayushmann Khurrana,Annu Kapoor,Undirected
Chris Williams,Scott Adsit,Undirected
Domhnall Gleeson,Bill Nighy,Undirected
Sridevi,Mehdi Nebbou,Undirected
Hideaki Anno,Miori Takimoto,Undirected
Tom Hanks,Annie Potts,Undirected
Geoffrey Rush,Sylvia Hoeks,Undirected
Jared Gilman,Bruce Willis,Undirected
Jay Baruchel,Gerard Butler,Undirected
Christian Bale,Ryan Gosling,Undirected
Takako Matsu,Masaki Okada,Undirected
Lee Byung-Hun,Jeon Gook-Hwan,Undirected
Daniel Craig,Christopher Plummer,Undirected
Tom Hanks,Barkhad Abdirahman,Undirected
Won Bin,Tae-hoon Kim,Undirected
O'Shea Jackson Jr.,Jason Mitchell,Undirected
Hye-ja Kim,Jin Goo,Undirected
Kim Yoon-seok,Yeong-hie Seo,Undirected
Ian McKellen,Richard Armitage,Undirected
Christian Friedel,Leonie Benesch,Undirected
Michael Nyqvist,Ewa Fröling,Undirected
Eddie Redmayne,Sacha Baron Cohen,Undirected
Mads Mikkelsen,Magnus Millang,Undirected
Mark Wahlberg,Amy Adams,Undirected
Liam Neeson,Famke Janssen,Undirected
Asa Butterfield,Rupert Friend,Undirected
Glen Hansard,Hugh Walsh,Undirected
Martin Freeman,Richard Armitage,Undirected
Baki Davrak,Tuncel Kurtiz,Undirected
Keira Knightley,Brenda Blethyn,Undirected
Ryan Gosling,Bryan Cranston,Undirected
Denzel Washington,Chiwetel Ejiofor,Undirected
Sam Worthington,Sigourney Weaver,Undirected
Jared Leto,Diane Kruger,Undirected
Gerardo Taracena,Dalia Hernández,Undirected
Valerie Faris,Toni Collette,Undirected
Simon Pegg,Martin Freeman,Undirected
Brad Pitt,Tilda Swinton,Undirected
Shah Rukh Khan,Rani Mukerji,Undirected
Ulrich Thomsen,Nicolas Bro,Undirected
Keira Knightley,Brenda Blethyn,Undirected
Anthony Hopkins,Iain Rea,Undirected
Shôgo Furuya,Yoshiaki Umegaki,Undirected
Nathan Fillion,Chiwetel Ejiofor,Undirected
Joaquin Phoenix,Ginnifer Goodwin,Undirected
Andreas Wilson,Gustaf Skarsgård,Undirected
Gena Rowlands,Rachel McAdams,Undirected
Gael García Bernal,Mía Maestro,Undirected
Oksana Akinshina,Pavel Ponomaryov,Undirected
Michèle Caucheteux,Michel Robin,Undirected
Lee Yeong-ae,Kang-ho Song,Undirected
Jim Caviezel,Christopher Adamson,Undirected
Ethan Hawke,Lorelei Linklater,Undirected
Denzel Washington,Wood Harris,Undirected
Yun-Fat Chow,Ziyi Zhang,Undirected
Cecilia Roth,Candela Peña,Undirected
Tom Hanks,Paul Sanchez,Undirected
Willem Dafoe,Norman Reedus,Undirected
Russell Crowe,Christopher Plummer,Undirected
Jake Gyllenhaal,Laura Dern,Undirected
Vicky Jenson,Eddie Murphy,Undirected
Leonardo DiCaprio,Billy Zane,Undirected
Takeshi Kitano,Ren Osugi,Undirected
Ethan Hawke,Jude Law,Undirected
Michael Douglas,Sean Penn,Undirected
Emily Watson,Katrin Cartlidge,Undirected
Johnny Depp,Sarah Jessica Parker,Undirected
Johnny Depp,Juliette Lewis,Undirected
Kevin Jarre,Val Kilmer,Undirected
Tom Guiry,Art LaFleur,Undirected
Anthony Hopkins,John Haycraft,Undirected
David Thewlis,Katrin Cartlidge,Undirected
Harrison Ford,Sela Ward,Undirected
Robert De Niro,Lillo Brancato,Undirected
Boyd Kirkland,Dan Riba,Undirected
Yun-Fat Chow,Teresa Mo,Undirected
Winona Ryder,Lisanne Falk,Undirected
Irène Jacob,Halina Gryglaszewska,Undirected
Cuba Gooding Jr.,Hudhail Al-Amir,Undirected
James Caan,Richard Farnsworth,Undirected
Robert De Niro,Julie Kavner,Undirected
Kirsten Dunst,Rei Sakuma,Undirected
Matthew Broderick,Cary Elwes,Undirected
Yun-Fat Chow,Sally Yeh,Undirected
Michael J. Fox,Lea Thompson,Undirected
Gene Hackman,Frances McDormand,Undirected
Arnold Schwarzenegger,Kevin Peter Hall,Undirected
Bruce Campbell,Dan Hicks,Undirected
Matthew Broderick,Mia Sara,Undirected
Tom Waits,Roberto Benigni,Undirected
Sean Astin,Jeff Cohen,Undirected
Danny Glover,Oprah Winfrey,Undirected
Emilio Estevez,Molly Ringwald,Undirected
Sam Waterston,John Malkovich,Undirected
Bill Murray,Sigourney Weaver,Undirected
Sam Shepard,Ed Harris,Undirected
Robert De Niro,Diahnne Abbott,Undirected
Henry Thomas,Peter Coyote,Undirected
Dustin Hoffman,Jane Alexander,Undirected
Richard Gere,Sam Shepard,Undirected
Clint Eastwood,Chief Dan George,Undirected
Sean Connery,Christopher Plummer,Undirected
Gene Hackman,Allen Garfield,Undirected
Barry Bostwick,Eric Baugin,Undirected
Edward Fox,Michel Auclair,Undirected
Martin Sheen,Warren Oates,Undirected
Liza Minnelli,Helmut Griem,Undirected
Gene Wilder,Peter Ostrum,Undirected
Dustin Hoffman,Sylvia Miles,Undirected
Audrey Hepburn,Richard Crenna,Undirected
Spencer Tracy,Katharine Hepburn,Undirected
Warren Beatty,Michael J. Pollard,Undirected
Audrey Hepburn,Stanley Holloway,Undirected
Julie Andrews,David Tomlinson,Undirected
Andrew Marton,Bernhard Wicki,Undirected
Jeanne Moreau,Henri Serre,Undirected
Deborah Kerr,Megs Jenkins,Undirected
Jean-Paul Belmondo,Daniel Boulanger,Undirected
Arthur Rosson,Montgomery Clift,Undirected
Humphrey Bogart,Lauren Bacall,Undirected
Humphrey Bogart,Walter Brennan,Undirected
Teresa Wright,Macdonald Carey,Undirected
John Wayne,Andy Devine,Undirected
Margaret Lockwood,Paul Lukas,Undirected
Katharine Hepburn,Charles Ruggles,Undirected
Boris Karloff,Colin Clive,Undirected
Groucho Marx,Chico Marx,Undirected
Richard Rosson,Ann Dvorak,Undirected
Colin Clive,Boris Karloff,Undirected
Yalitza Aparicio,Diego Cortina Autrey,Undirected
Josh O'Connor,Gemma Jones,Undirected
Ryan Reynolds,Morena Baccarin,Undirected
Kelsey Asbille,Julia Jones,Undirected
Daniel Kaluuya,Bradley Whitford,Undirected
Tom Cruise,Ving Rhames,Undirected
Rolf Lassgård,Filip Berg,Undirected
Taika Waititi,Taika Waititi,Undirected
Hiromasa Yonebayashi,Kasumi Arimura,Undirected
Eddie Redmayne,Tom Prior,Undirected
Colin Firth,Samuel L. Jackson,Undirected
Shailene Woodley,Nat Wolff,Undirected
Thomas Mann,Olivia Cooke,Undirected
Michael Keaton,Edward Norton,Undirected
Léa Seydoux,Salim Kechiouche,Undirected
Amit Sadh,Rajkummar Rao,Undirected
Veerle Baetens,Nell Cattrysse,Undirected
Joe Russo,Samuel L. Jackson,Undirected
Ranbir Kapoor,Shammi Kapoor,Undirected
Bruce Dern,June Squibb,Undirected
John C. Reilly,Jane Lynch,Undirected
Jeff Bridges,Rachel McAdams,Undirected
Adrien Brody,Marcia Gay Harden,Undirected
Owen Wilson,Kathy Bates,Undirected
Phil Lord,Will Ferrell,Undirected
Sandra Bullock,Ed Harris,Undirected
Chris Pine,Zoe Saldana,Undirected
Abraham Attah,Ricky Adelayitor,Undirected
Jesse Eisenberg,Justin Timberlake,Undirected
James McAvoy,Jennifer Lawrence,Undirected
Zach Galifianakis,Justin Bartha,Undirected
Daniel Craig,Naomie Harris,Undirected
Bradley Cooper,Robert De Niro,Undirected
Ben Affleck,John Goodman,Undirected
Zooey Deschanel,Geoffrey Arend,Undirected
Daniel Radcliffe,Rupert Grint,Undirected
Cate Blanchett,Liam Neeson,Undirected
Frank Langella,Kevin Bacon,Undirected
Megumi Hayashibara,Katsunosuke Hori,Undirected
Angelina Jolie,Amy Ryan,Undirected
Madeline Carroll,Rebecca De Mornay,Undirected
Riisa Naka,Mitsutaka Itakura,Undirected
Tatsuya Fujiwara,Asaka Seto,Undirected
Thomas Turgoose,Jo Hartley,Undirected
Alicia Vikander,Oscar Isaac,Undirected
Mads Mikkelsen,Rolf Lassgård,Undirected
James McAvoy,Gillian Anderson,Undirected
Jake Gyllenhaal,Mark Ruffalo,Undirected
Josh Hartnett,Morgan Freeman,Undirected
Diane Kruger,Guillaume Canet,Undirected
Sam Riley,Craig Parkinson,Undirected
Byron Howard,Zachary Levi,Undirected
Carice van Houten,Thom Hoffman,Undirected
Jake Gyllenhaal,Michelle Williams,Undirected
Russell Crowe,Ben Foster,Undirected
Don Cheadle,Thandie Newton,Undirected
Stephen Chow,Qiu Yuen,Undirected
Matt Damon,Joan Allen,Undirected
Christian Bale,Aitana Sánchez-Gijón,Undirected
Jamie Foxx,Kerry Washington,Undirected
Bill Murray,Giovanni Ribisi,Undirected
Daniel Radcliffe,Rupert Grint,Undirected
Denzel Washington,Dakota Fanning,Undirected
Dakota Fanning,John Hodgman,Undirected
Tom Cruise,Billy Connolly,Undirected
Eileen Walsh,Nora-Jane Noone,Undirected
Daniel Brühl,Chulpan Khamatova,Undirected
Paddy Considine,Djimon Hounsou,Undirected
Sean Penn,Dakota Fanning,Undirected
Nicolas Cage,Chris Cooper,Undirected
Josh Hartnett,Tom Sizemore,Undirected
Tom Hanks,Rob Maxey,Undirected
Moritz Bleibtreu,Oliver Stokowski,Undirected
Jamie Bell,Jean Heywood,Undirected
John Cameron Mitchell,Stephen Trask,Undirected
George Clooney,Julia Roberts,Undirected
Andrew Philpot,Pamela Adlon,Undirected
Ethan Coen,John Turturro,Undirected
James Marsden,Kurt Russell,Undirected
Trey Parker,Mary Kay Bergman,Undirected
Ron Livingston,David Herman,Undirected
Jane Adams,Philip Seymour Hoffman,Undirected
Denzel Washington,Scott Glenn,Undirected
Jason Schwartzman,Olivia Williams,Undirected
Eduardo Noriega,Chete Lera,Undirected
John Cusack,Catherine Keener,Undirected
Jack Nicholson,Greg Kinnear,Undirected
Bruce Willis,Gary Oldman,Undirected
Thierry Lhermitte,Francis Huster,Undirected
Al Pacino,Michael Madsen,Undirected
Geoffrey Rush,Justin Braine,Undirected
Richard Gere,Edward Norton,Undirected
Kenneth Branagh,Derek Jacobi,Undirected
Liesel Matthews,Liam Cunningham,Undirected
Leon Lai,Takeshi Kaneshiro,Undirected
Massimo Troisi,Philippe Noiret,Undirected
Brian O'Halloran,Marilyn Ghigliotti,Undirected
Andie MacDowell,Tim Robbins,Undirected
Tom Hanks,Roberta Maxwell,Undirected
Michael Caine,Dave Goelz,Undirected
Denzel Washington,Delroy Lindo,Undirected
Daniel Day-Lewis,Russell Means,Undirected
Shûichirô Moriyama,Bunshi Katsura Vi,Undirected
Al Pacino,Alec Baldwin,Undirected
Tom Cruise,Demi Moore,Undirected
Kathy Bates,Mary Stuart Masterson,Undirected
Ethan Coen,John Goodman,Undirected
Ethan Coen,Albert Finney,Undirected
Bob Hoskins,Joanna Cassidy,Undirected
Bernard-Pierre Donnadieu,Johanna ter Steege,Undirected
Richard E. Grant,Richard Griffiths,Undirected
John Lone,Peter O'Toole,Undirected
Christian Bale,Miranda Richardson,Undirected
Sean Connery,Helmut Qualtinger,Undirected
Isabella Rossellini,Dennis Hopper,Undirected
Mia Farrow,Danny Aiello,Undirected
Griffin Dunne,Verna Bloom,Undirected
Woody Allen,Patrick Horgan,Undirected
Paul Newman,Jack Warden,Undirected
William Shatner,DeForest Kelley,Undirected
Sylvester Stallone,Richard Crenna,Undirected
Donald Sutherland,Judd Hirsch,Undirected
David Zucker,Robert Hays,Undirected
Yasuo Yamada,Kiyoshi Kobayashi,Undirected
Donald Pleasence,Tony Moran,Undirected
Roman Polanski,Melvyn Douglas,Undirected
Woody Allen,Georges Adet,Undirected
Walter Matthau,Martin Balsam,Undirected
Cleavon Little,Slim Pickens,Undirected
Al Pacino,Jack Kehoe,Undirected
Bruce Lee,Jim Kelly,Undirected
Jon Voight,Ned Beatty,Undirected
Gene Hackman,Fernando Rey,Undirected
Clint Eastwood,Harry Guardino,Undirected
Richard Burton,Mary Ure,Undirected
Jack Lemmon,John Fiedler,Undirected
Lee Marvin,Charles Bronson,Undirected
Catherine Deneuve,Michel Piccoli,Undirected
Paul Scofield,Robert Shaw,Undirected
Catherine Deneuve,John Fraser,Undirected
Stanley Baker,Ulla Jacobsson,Undirected
Sean Connery,Honor Blackman,Undirected
Rod Taylor,Jessica Tandy,Undirected
Gregory Peck,Polly Bergen,Undirected
Karlheinz Böhm,Moira Shearer,Undirected
Yul Brynner,Charles Bronson,Undirected
Pierre Brasseur,Juliette Mayniel,Undirected
Kevin McCarthy,Larry Gates,Undirected
James Dean,Sal Mineo,Undirected
Alec Guinness,Cecil Parker,Undirected
Humphrey Bogart,William Holden,Undirected
John Wayne,Barry Fitzgerald,Undirected
Michael Rennie,Hugh Marlowe,Undirected
Humphrey Bogart,Robert Morley,Undirected
Rita Hayworth,George Macready,Undirected
Samuel Armstrong,Norman Ferguson,Undirected
Claude Rains,William Harrigan,Undirected
Mark Ruffalo,Tim Robbins,Undirected
John Cho,Joseph Lee,Undirected
Leonardo DiCaprio,Margot Robbie,Undirected
Maryana Spivak,Matvey Novikov,Undirected
Brooklynn Prince,Willem Dafoe,Undirected
Michael B. Jordan,Brie Larson,Undirected
Chris Evans,Lindsay Duncan,Undirected
Michael Schwartz,Ann Owens,Undirected
Laia Costa,Franz Rogowski,Undirected
Günes Sensoy,Tugba Sunguroglu,Undirected
Chris Pratt,Dave Bautista,Undirected
Ansel Elgort,Jon Hamm,Undirected
Josh Brolin,Jeff Bridges,Undirected
Tom Hanks,Alan Alda,Undirected
Craig T. Nelson,Sarah Vowell,Undirected
John Musker,Chris Williams,Undirected
Emily Blunt,Benicio Del Toro,Undirected
Michael B. Jordan,Tessa Thompson,Undirected
Aleksey Serebryakov,Roman Madyanov,Undirected
Chris Pine,Jeff Bridges,Undirected
Judi Dench,Sophie Kennedy Clark,Undirected
Gary Oldman,Andy Serkis,Undirected
Jose Coronado,Belén Rueda,Undirected
Iko Uwais,Ray Sahetapy,Undirected
Jake Gyllenhaal,Anna Kendrick,Undirected
Amy Poehler,Ryûnosuke Kamiki,Undirected
Lady Gaga,Sam Elliott,Undirected
Joel Coen,Matt Damon,Undirected
Mikael Persbrandt,Markus Rygaard,Undirected
Chris Renaud,Jason Segel,Undirected
Joseph Gordon-Levitt,Anna Kendrick,Undirected
Aaron Taylor-Johnson,Chloë Grace Moretz,Undirected
Luis Tosar,Antonio Resines,Undirected
Brad Pitt,Jonah Hill,Undirected
Antonio Banderas,Jan Cornet,Undirected
Jesse Eisenberg,Woody Harrelson,Undirected
Jürgen Vogel,Max Riemelt,Undirected
Robert Downey Jr.,Rachel McAdams,Undirected
Quinton Aaron,Tim McGraw,Undirected
Richard Jenkins,Danai Gurira,Undirected
Will Smith,Woody Harrelson,Undirected
Naomi Watts,Armin Mueller-Stahl,Undirected
Charlie Cox,Sienna Miller,Undirected
Nora Twomey,Brendan Gleeson,Undirected
Denzel Washington,Jodie Foster,Undirected
Morgan Freeman,Casey Affleck,Undirected
Marion Cotillard,Pascal Greggory,Undirected
Jet Li,Yong Dong,Undirected
Edward Norton,Paul Giamatti,Undirected
Paddy Considine,Toby Kebbell,Undirected
Daniel Radcliffe,Rupert Grint,Undirected
Gerard Butler,David Wenham,Undirected
Scarlett Johansson,Emily Mortimer,Undirected
Jackie Earle Haley,Carla Gugino,Undirected
Nicolas Cage,Jared Leto,Undirected
Cary Elwes,Danny Glover,Undirected
Philip Seymour Hoffman,Michelle Williams,Undirected
Brady Corbet,Elisabeth Shue,Undirected
Guillaume Canet,Thibault Verhaeghe,Undirected
Audrey Tautou,Jodie Foster,Undirected
Peter Dinklage,Bobby Cannavale,Undirected
Sean Penn,Naomi Watts,Undirected
Kang-ho Song,Bae Doona,Undirected
Johnny Depp,Julie Christie,Undirected
Edward Norton,Philip Seymour Hoffman,Undirected
J. Mackye Gruber,Amy Smart,Undirected
Cillian Murphy,Christopher Eccleston,Undirected
Tatsuya Fujiwara,Tarô Yamamoto,Undirected
Gene Hackman,Anjelica Huston,Undirected
Maribel Verdú,Daniel Giménez Cacho,Undirected
Daniel Radcliffe,Richard Harris,Undirected
Nicole Kidman,Fionnula Flanagan,Undirected
Johnny Depp,Franka Potente,Undirected
Jude Law,Joseph Fiennes,Undirected
Tom Cruise,Samantha Morton,Undirected
Denzel Washington,Deborah Kara Unger,Undirected
Christian Bale,Josh Lucas,Undirected
Franka Potente,Herbert Knaup,Undirected
Jim Caviezel,Nick Nolte,Undirected
Barry Cook,Eddie Murphy,Undirected
Johnny Depp,Tobey Maguire,Undirected
Susanne Lothar,Arno Frisch,Undirected
Rufus Sewell,Jennifer Connelly,Undirected
Robert De Niro,Brad Pitt,Undirected
Bill Pullman,John Roselius,Undirected
Emma Thompson,James Fleet,Undirected
Bruce Willis,Samuel L. Jackson,Undirected
Johnny Depp,Crispin Glover,Undirected
Clint Eastwood,Annie Corley,Undirected
Tom Hanks,Kevin Bacon,Undirected
Zbigniew Zamachowski,Janusz Gajos,Undirected
Michael Douglas,Barbara Hershey,Undirected
Jason London,Matthew McConaughey,Undirected
Joe Pesci,Ralph Macchio,Undirected
Miki Imai,Yoko Honna,Undirected
Jean-Pierre Jeunet,Dominique Pinon,Undirected
Macaulay Culkin,Daniel Stern,Undirected
Al Pacino,Andy Garcia,Undirected
Billy Crystal,Carrie Fisher,Undirected
John Musker,Samuel E. Wright,Undirected
Leslie Nielsen,O.J. Simpson,Undirected
Steve Martin,Laila Robins,Undirected
Mel Gibson,Gary Busey,Undirected
Ethan Coen,Frances McDormand,Undirected
Katharine Hepburn,Jane Fonda,Undirected
Mel Gibson,Michael Preston,Undirected
Michael Beck,Dorsey Wright,Undirected
Jim Henson,Jerry Nelson,Undirected
Clint Eastwood,Roberts Blossom,Undirected
John Hubley,Richard Briers,Undirected
Brad Davis,Bo Hopkins,Undirected
Richard Dreyfuss,Teri Garr,Undirected
Elliott Gould,Sterling Hayden,Undirected
Rod Steiger,Romolo Valli,Undirected
Clint Eastwood,Don Rickles,Undirected
Phil Harris,Louis Prima,Undirected
David Hemmings,Sarah Miles,Undirected
John Lennon,George Harrison,Undirected
Audrey Hepburn,Patricia Neal,Undirected
Elizabeth Taylor,James Dean,Undirected
Burt Lancaster,Deborah Kerr,Undirected
Tallulah Bankhead,Walter Slezak,Undirected
Robert Donat,Lucie Mannheim,Undirected
Tim Robbins,William Sadler,Undirected
Marlon Brando,Diane Keaton,Undirected
Christian Bale,Michael Caine,Undirected
Al Pacino,Diane Keaton,Undirected
Henry Fonda,John Fiedler,Undirected
Elijah Wood,Orlando Bloom,Undirected
John Travolta,Bruce Willis,Undirected
Liam Neeson,Caroline Goodall,Undirected
Leonardo DiCaprio,Ken Watanabe,Undirected
Brad Pitt,Zach Grenier,Undirected
Elijah Wood,Sean Bean,Undirected
Tom Hanks,Sally Field,Undirected
Clint Eastwood,Aldo Giuffrè,Undirected
Elijah Wood,Orlando Bloom,Undirected
Lilly Wachowski,Carrie-Anne Moss,Undirected
Robert De Niro,Lorraine Bracco,Undirected
Mark Hamill,Billy Dee Williams,Undirected
Jack Nicholson,Peter Brocco,Undirected
Lin-Manuel Miranda,Renée Elise Goldsberry,Undirected
Kang-ho Song,Choi Woo-sik,Undirected
Suriya,Aparna Balamurali,Undirected
Matthew McConaughey,Mackenzie Foy,Undirected
Kátia Lund,Matheus Nachtergaele,Undirected
Daveigh Chase,Rumi Hiiragi,Undirected
Tom Hanks,Edward Burns,Undirected
Tom Hanks,Bonnie Hunt,Undirected
Roberto Benigni,Giustino Durano,Undirected
Morgan Freeman,Andrew Kevin Walker,Undirected
Jodie Foster,Kasi Lemmons,Undirected
Mark Hamill,Alec Guinness,Undirected
Tatsuya Nakadai,Tetsurô Tanba,Undirected
Toshirô Mifune,Yukiko Shimazaki,Undirected
James Stewart,Thomas Mitchell,Undirected
Joaquin Phoenix,Frances Conroy,Undirected
Miles Teller,Paul Reiser,Undirected
Éric Toledano,Anne Le Ny,Undirected
Christian Bale,Michael Caine,Undirected
Leonardo DiCaprio,Mark Wahlberg,Undirected
